Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
20-02-2020;25;32,4;27,5;84;19,8;4,5;4;330;1;C 
21-02-2020;25,2;33,2;28,1;85;8888;3;5;120;2;C 
22-02-2020;24,6;32,8;28;84;40,8;5,2;3;190;1;C 
23-02-2020;24,8;33;28,3;82;;8,5;4;160;1;C 
24-02-2020;26,2;33,6;29;79;;6,2;4;300;1;C 
25-02-2020;26;32,8;27,8;85;3;6;5;280;1;C 
26-02-2020;25,4;32,6;27,4;87;11,1;2,1;7;210;1;C 
27-02-2020;25,5;33,4;27,6;86;33,4;5;5;230;1;C 
28-02-2020;25,4;33,2;28,2;85;0,3;8;3;220;1;C 
29-02-2020;25,6;33,2;28,8;84;6,6;6;4;240;1;C 
01-03-2020;25,8;33,4;27,1;90;23,7;9,4;4;350;1;C 
02-03-2020;25,4;32,2;27,3;89;30,9;3,3;3;100;1;C 
03-03-2020;25,4;32,8;28,5;85;73;5,8;4;310;1;C 
04-03-2020;25,6;32,6;26,4;92;26,4;6,5;9;280;2;C 
05-03-2020;23;31,8;26,6;80;8888;0,3;4;300;1;C 
06-03-2020;23,4;33,6;28;80;4,2;2,1;4;230;1;C 
07-03-2020;25,1;32,4;27,7;86;26;7,1;6;220;2;C 
08-03-2020;25,5;31,8;27,4;88;8888;3,3;4;240;1;C 
09-03-2020;25,2;31,8;26,7;86;2;2,9;10;250;2;C 
10-03-2020;25;32,5;28,3;81;5,3;2;4;210;2;W 
11-03-2020;26;32,8;28,4;87;0;9;4;340;1;C 
12-03-2020;25,2;33,2;27,6;84;23,3;5;3;110;1;C 
13-03-2020;25;31,6;28,4;84;0;4,5;3;140;1;C 
14-03-2020;25;32,6;27,8;85;0;3,2;7;140;1;C 
15-03-2020;26,5;32,6;28,9;82;0;5,5;5;150;1;SE
16-03-2020;24,2;32,4;28,8;83;0,2;6,9;5;140;1;C 
17-03-2020;26;32,6;28,7;82;12,5;10;3;130;1;C 
18-03-2020;25,4;32,4;28;85;14;7,2;3;300;1;C 
19-03-2020;;32,2;27,9;87;2,9;8,4;3;270;1;C 
20-03-2020;25,3;32,4;27,7;87;5;2,3;2;120;0;C 
21-03-2020;25;32,8;28,1;84;29,4;5,1;9;330;2;SE
22-03-2020;24;33,8;27,3;90;81,3;9;3;280;1;C 
23-03-2020;;30,6;27,4;84;8888;5,5;7;50;1;C 
24-03-2020;24,8;32;27,9;83;0,2;4;3;130;1;C 
25-03-2020;25;32,2;27,6;85;1,2;7,5;4;140;1;C 
26-03-2020;25,8;32,4;29;82;9,1;7;5;120;2;C 
27-03-2020;25,7;32,4;28,7;83;38,1;6;4;160;1;C 
28-03-2020;25,8;33;28,2;82;0,2;8,3;4;170;1;C 
29-03-2020;25,3;32,9;28,1;81;0;8;3;130;1;C 
30-03-2020;25,2;31,8;28,2;83;8888;5;3;160;1;C 
31-03-2020;25,8;32;28,4;84;6,7;5,7;7;220;2;C 
01-04-2020;;31,8;28,6;82;4;8,3;4;150;1;C 
02-04-2020;;;28,3;82;;6,4;3;220;1;C 
03-04-2020;25,4;32,2;27,4;86;2,9;2,4;3;160;1;C 
04-04-2020;24,6;32,2;28,1;84;55,7;7,5;3;170;1;C 
05-04-2020;;32,2;28;84;6,7;7,3;4;140;1;C 
06-04-2020;25,6;29,4;26,5;90;1,8;5,2;3;230;0;C 
07-04-2020;24,8;31,9;27,9;85;17,2;0,1;3;240;1;C 
08-04-2020;25,2;31,8;27,7;85;5,9;8,2;2;200;0;C 
09-04-2020;25,2;32;27,9;85;0;7;6;130;1;C 
10-04-2020;25,2;32,6;28,6;82;0;9,2;7;200;1;C 
11-04-2020;24,8;32,2;28,1;83;24,5;6,7;3;250;1;C 
12-04-2020;25,8;32,3;28,4;81;0;8,5;3;140;1;SE
13-04-2020;25,8;32,2;28,8;80;;9,5;3;150;1;C 
14-04-2020;;32,3;28,6;82;0;10,2;5;110;1;SE
15-04-2020;25,8;32;27,9;83;4,4;9,7;5;330;1;C 
16-04-2020;25,6;32,4;28,2;84;0,4;6,5;3;160;1;C 
17-04-2020;24,6;;;;28,1;4,1;3;170;1;C 
18-04-2020;24,8;32,4;27,6;86;8888;5,8;5;190;1;C 
19-04-2020;;32,2;28;83;14,7;7,5;4;180;1;C 
20-04-2020;25,3;32,4;28,9;83;0,1;6,2;4;120;2;SE
21-04-2020;25;31,7;27,7;87;25,7;5,3;2;270;0;C 
22-04-2020;25,8;32,8;29,1;84;;1,3;2;120;1;C 
23-04-2020;25,7;32,6;28,9;85;3;8,1;4;120;2;SE
24-04-2020;25,3;32,2;28,1;83;6,3;9,4;4;130;1;C 
25-04-2020;24,7;32;27,7;86;43;9,5;3;130;1;C 
26-04-2020;25;32,3;28,3;86;2;9,2;4;110;1;C 
27-04-2020;25,8;31,4;28,2;87;12,3;6,5;5;140;1;C 
28-04-2020;;29,8;27,5;86;14,4;;3;150;0;C 
29-04-2020;25;31,4;27,9;84;0,8;1,2;4;100;2;SE
30-04-2020;25,2;31,7;28,9;79;0;10,6;4;120;2;SE
01-05-2020;26,4;32;28,6;82;;10;4;110;2;C 
02-05-2020;25,8;32,2;28,6;78;8888;7,4;4;150;2;SE
03-05-2020;26,2;32,2;28,6;82;;10,2;4;150;1;C 
04-05-2020;26,6;32,4;29;82;;7,1;3;140;1;C 
05-05-2020;26,5;32;28,7;85;8888;7,2;5;120;1;C 
06-05-2020;26,5;31,6;28,4;84;0;6;6;120;1;C 
07-05-2020;;31,4;28;79;0,8;3,2;6;150;2;C 
08-05-2020;26;32;28,8;84;0;9,5;3;130;1;C 
09-05-2020;26,8;32;28,6;82;0;7,2;4;130;0;C 
10-05-2020;26,1;33;28,9;83;;2;3;190;1;C 
11-05-2020;25,2;30,8;27,6;87;61;4,3;3;160;1;C 
12-05-2020;25,5;32,2;28,9;78;;3;5;140;2;E 
13-05-2020;;32,2;29;82;1;9,9;6;100;4;SE
14-05-2020;;32,2;29,1;80;;8;6;100;3;E 
15-05-2020;26;31,6;27,9;83;6,8;7,6;8;100;2;E 
16-05-2020;25,8;31,8;28,7;83;77,1;4;10;120;4;E 
17-05-2020;;31,8;28,5;86;31,6;8,3;8;90;3;E 
18-05-2020;26,4;30,5;27,7;86;42,5;6,5;4;110;1;C 
19-05-2020;25,4;30,4;27,6;87;23,8;0,5;3;120;1;C 
20-05-2020;25,3;31,8;28;85;8888;2,5;8;100;2;SE
21-05-2020;25,4;29,9;27,5;89;48,8;9,8;2;200;0;C 
22-05-2020;;31,6;28,6;81;;0,2;4;150;1;C 
23-05-2020;26,2;32,2;28,6;83;;10,2;4;140;1;C 
24-05-2020;26,2;;28,8;83;0;10;3;10;0;C 
25-05-2020;26,6;32,4;29,1;83;1;9,5;3;210;1;C 
26-05-2020;25,8;;26,3;93;18;9,5;2;180;0;C 
27-05-2020;25,8;30;27,6;89;7,7;0;4;170;1;C 
28-05-2020;24,7;29,4;27,1;87;9,3;4,4;5;110;2;C 
29-05-2020;26;31,4;28,2;85;1;0,1;3;110;1;C 
30-05-2020;25,4;31,6;28,1;86;0;6;5;150;2;SE
31-05-2020;25;30,4;26,9;91;48,5;9,4;3;140;1;C 
01-06-2020;25;31,4;27,9;85;56;5,1;4;100;1;C 
02-06-2020;23,8;31,7;27,8;86;50,1;5,2;5;130;2;SE
03-06-2020;26;31,8;28,3;86;32,2;5;3;180;0;C 
04-06-2020;25,4;31,8;28,5;82;20,6;4,4;8;100;3;E 
05-06-2020;25,2;30,2;26;89;3,3;9,4;5;120;2;C 
06-06-2020;;31,2;25,8;89;4;1,4;3;140;1;SE
07-06-2020;24,6;30,8;27,6;86;24,1;1;5;110;2;E 
08-06-2020;25,2;30,8;28,1;82;7;7,3;6;90;2;C 
09-06-2020;;30,6;27,4;86;66,1;9,3;8;120;3;SE
10-06-2020;25,6;30,4;27,6;79;1,2;6,5;4;110;2;SE
11-06-2020;25,8;30,8;28;83;0,2;7,5;4;140;2;C 
12-06-2020;25;30,8;27,2;83;0;8;3;100;2;SE
13-06-2020;24,4;30,4;27,1;84;0;10;6;130;3;SE
14-06-2020;24,4;30,8;28,2;82;4;9,5;6;130;2;SE
15-06-2020;25,8;31,6;28,6;85;7,9;4,5;5;110;2;SE
16-06-2020;;;;;;;;;;
17-06-2020;24,8;30,1;27;89;0,2;7,5;5;110;2;SE
18-06-2020;25,3;30,2;27,8;85;21,5;6,5;5;100;4;SE
19-06-2020;;29,6;27,4;87;59,6;4;6;110;4;E 
20-06-2020;26,2;30,6;27,8;81;6,5;4;7;100;3;E 
21-06-2020;25,6;30,6;27,4;82;1,4;8,1;5;110;2;E 
22-06-2020;25;30;27,1;86;1,5;7;10;110;4;E 
23-06-2020;25,2;;;;0;8,2;4;100;2;E 
24-06-2020;24,8;;27;81;0,5;8,7;5;110;3;E 
25-06-2020;24,8;29,4;26,4;85;;7,8;5;120;3;E 
26-06-2020;24;29,4;26,3;83;;9,1;3;110;2;E 
27-06-2020;;29,4;26,4;84;;9,5;5;130;3;E 
28-06-2020;25;30;26,8;80;;9,5;4;130;2;SE
29-06-2020;;;;;;;;;;
30-06-2020;;29,8;27,2;80;;8,7;5;100;3;E 
01-07-2020;25,6;30;27,2;80;8888;9,4;5;120;3;SE
02-07-2020;24,8;30,2;26,8;84;2,1;9,5;4;100;2;E 
03-07-2020;24,8;30,4;27,1;83;1,8;5,4;8;100;4;E 
04-07-2020;;30,2;27,3;76;;2,3;7;110;2;SE
05-07-2020;23,9;30;26,4;85;2;4,4;6;120;2;SE
06-07-2020;25;30;27,1;86;19,2;9,3;5;120;2;SE
07-07-2020;25,3;30,5;27,2;81;0,4;5;5;120;3;E 
08-07-2020;25,2;;;;1,5;5,7;4;120;3;E 
09-07-2020;25,6;29,4;26,8;82;1,7;5,8;7;100;4;SE
10-07-2020;;330;26,6;84;14,7;5,3;6;90;3;E 
11-07-2020;24,5;29,6;27;80;2,6;3,3;4;120;3;SE
12-07-2020;;;;;;;;;;
13-07-2020;25,6;29,4;27,1;84;0;10;4;110;2;SE
14-07-2020;25,8;30,2;27,7;84;0,2;9,3;4;100;3;E 
15-07-2020;26,6;31,6;27,8;82;8888;9,3;5;140;3;SE
16-07-2020;26,7;30,4;27,6;82;;7,4;4;100;3;E 
17-07-2020;26,5;29,9;27,5;85;;7,2;4;130;2;SE
18-07-2020;26,1;29,8;27,3;78;0,5;4,8;6;120;3;SE
19-07-2020;24,2;29,5;26,2;84;0;4;4;120;3;E 
20-07-2020;24,2;29,7;27,6;83;4,4;8,1;4;100;3;SE
21-07-2020;26,2;30,6;27,5;80;0,1;6,2;4;110;3;SE
22-07-2020;26,2;29,8;27,6;79;0;7,8;4;90;3;SE
23-07-2020;26;29,6;27,3;78;0;7,5;5;110;3;E 
24-07-2020;23,8;29,4;26,3;82;0;8,9;6;120;4;E 
25-07-2020;24,6;29,3;26,3;75;;8;5;120;2;E 
26-07-2020;23,2;;25,6;75;;10;5;110;4;E 
27-07-2020;24;28,4;26,2;76;0;9,5;4;110;3;SE
28-07-2020;24,8;28,8;26;80;0;10,2;9;120;4;SE
29-07-2020;24,8;30;26,4;85;0;7,5;4;100;2;E 
30-07-2020;21,4;28,2;23,5;84;0;7,5;3;130;1;C 
31-07-2020;22;28,4;24,6;84;;10;4;120;2;E 
01-08-2020;22;28,8;25,6;81;;9,4;5;120;3;E 
02-08-2020;22;28,4;26,2;78;;9;4;110;2;E 
03-08-2020;22;28,2;24,4;85;;10;4;140;2;SE
04-08-2020;22,2;28,2;25,6;84;0,6;9,2;5;120;3;E 
05-08-2020;;28,8;26,2;81;;1,5;4;100;3;E 
06-08-2020;20,5;28,4;25,6;83;0;9;4;100;2;SE
07-08-2020;23,6;28,8;25,7;84;;9,5;6;100;4;E 
08-08-2020;;27,8;25,5;84;;9,9;4;120;2;SE
09-08-2020;;29,3;25,6;86;0;3,2;4;130;1;C 
10-08-2020;23,2;29,6;25,8;84;0;9;4;140;1;C 
11-08-2020;24,8;29,6;26,4;84;;9,3;3;110;2;SE
12-08-2020;25,2;30;26,8;88;2,6;1,4;4;110;2;SE
13-08-2020;25,6;28,4;26,6;88;2,4;1,6;5;140;3;SE
14-08-2020;26;29,6;27,3;85;3,3;2;4;120;2;SE
15-08-2020;25,2;30;27,1;87;19,1;5,2;4;110;2;E 
16-08-2020;25,1;29,3;27,3;83;0;7,8;4;120;3;SE
17-08-2020;25,5;;27,1;82;0,6;2,3;6;110;4;SE
18-08-2020;25,6;30;27,6;80;0,3;7,2;5;120;4;E 
19-08-2020;24,5;29,6;27,3;79;4,8;9;5;120;4;E 
20-08-2020;25,8;29,5;27,2;82;0,1;9,4;6;110;3;E 
21-08-2020;;30,2;26,5;85;;9,3;4;120;2;SE
22-08-2020;;30;27,4;83;;7,5;6;120;3;E 
23-08-2020;24,7;29,8;26,9;82;8888;8,2;4;120;3;SE
24-08-2020;25,4;29,8;27,4;79;0;9;4;130;3;SE
25-08-2020;24,6;29,7;26,7;82;0;6;4;120;3;SE
26-08-2020;25,1;30;27,5;75;8888;;7;130;5;E 
27-08-2020;25,2;30;26,7;76;0;10;5;130;3;E 
28-08-2020;25,2;29,4;26,8;81;;8,4;4;110;2;E 
29-08-2020;24,8;30,2;27,4;83;0,8;5,8;5;110;4;E 
30-08-2020;25,7;29,6;27,2;77;0;6,3;6;140;4;SE
31-08-2020;25,8;29,4;26,7;79;0;6,2;4;120;4;SE
01-09-2020;25;29,7;27,1;80;;6,2;5;130;3;SE
02-09-2020;;29,4;26,1;84;4,6;6,3;6;130;2;SE
03-09-2020;;29,4;26,6;85;6,6;3,5;4;110;3;SE
04-09-2020;25,1;29,6;27,5;84;0,1;8,1;5;140;3;SE
05-09-2020;25,2;29,4;27;79;0;8,4;5;120;3;SE
06-09-2020;24;29,7;26,8;80;1,5;9,8;4;120;3;SE
07-09-2020;25,6;29,8;27;83;;9,6;6;130;3;SE
08-09-2020;25,7;29,6;27,2;84;0,7;8,5;4;130;3;E 
09-09-2020;25;29,2;26,9;82;;9;4;110;3;SE
10-09-2020;25,6;29,8;26,9;84;0,9;8,8;4;140;2;E 
11-09-2020;;29,8;27,1;80;;8,4;5;130;3;E 
12-09-2020;;29,4;27,1;80;1,4;9,1;4;110;3;SE
13-09-2020;25,3;29,8;27,2;80;8888;9,5;5;140;2;SE
14-09-2020;24,4;29,5;27;78;0;8;4;130;3;SE
15-09-2020;;;;;;;;;;
16-09-2020;;;;;;;;;;
17-09-2020;;;;;;;;;;
18-09-2020;;;;;;;;;;
19-09-2020;;;;;;;;;;
20-09-2020;;;;;;;;;;
21-09-2020;;;;;;;;;;
22-09-2020;;;;;;;;;;
23-09-2020;;;;;;;;;;
24-09-2020;;;;;;;;;;
25-09-2020;;;;;;;;;;
26-09-2020;;;;;;;;;;
27-09-2020;;;;;;;;;;
28-09-2020;23,8;30,6;26,8;86;86,7;4;5;120;3;SE
29-09-2020;25,2;29,6;27,3;80;5,2;4,8;5;140;4;SE
30-09-2020;25,5;30;27,5;81;2,7;7,3;6;140;3;SE
01-10-2020;25,8;29,9;27,6;85;22,7;9;4;120;3;SE
02-10-2020;26,4;30,2;27,9;86;;8,4;4;140;3;SE
03-10-2020;26,2;30,8;28,1;83;2,1;7,8;8;130;4;SE
04-10-2020;26,4;30,2;27,8;81;0;9;5;130;4;SE
05-10-2020;23,1;28,4;24,8;90;28,8;7,4;6;150;2;E 
06-10-2020;23,1;28,6;25,1;90;62,6;3;6;100;3;E 
07-10-2020;23,8;29;26,5;80;6,6;1,1;5;140;3;SE
08-10-2020;25;30,8;26,8;83;8888;7,5;5;120;3;E 
09-10-2020;25,2;29,5;26,8;83;;7,3;4;90;2;E 
10-10-2020;25,4;30;27;86;8888;7,8;6;110;3;E 
11-10-2020;;30,2;27,2;86;4,1;5;4;140;3;SE
12-10-2020;25;29,4;27,2;85;39,7;7,4;5;110;3;SE
13-10-2020;25,4;30;27,5;84;0,8;5;4;140;3;SE
14-10-2020;26;30;27,7;85;0,2;9,8;5;150;3;SE
15-10-2020;26,2;30,2;27,6;84;;8,4;4;140;3;SE
16-10-2020;25,8;29,5;27,4;83;;6;4;140;2;SE
17-10-2020;25,7;29,8;27,1;81;0;1,4;5;160;3;SE
18-10-2020;25,2;30,1;27,3;83;0,9;5,4;4;130;3;SE
19-10-2020;24,4;28,5;26,3;90;63;5,3;4;110;2;E 
20-10-2020;;30,6;27,5;86;28,1;0,2;4;140;2;SE
21-10-2020;;29,6;26,3;88;76,6;9,1;3;160;1;SE
22-10-2020;25,1;;;;0,5;2;3;160;1;C 
23-10-2020;25,3;29,8;26,9;88;20,7;5,3;4;180;2;C 
24-10-2020;25;30,4;27,2;87;60,3;4,4;4;130;2;SE
25-10-2020;25;28,9;26,1;91;61;6,2;3;70;1;C 
26-10-2020;24,5;30,1;26,8;87;52,3;0,8;3;140;2;S 
27-10-2020;22,7;30,2;25,8;88;102,7;0;3;120;1;C 
28-10-2020;23,4;30,6;27,9;81;1,8;4;4;150;2;SE
29-10-2020;24,1;30,8;27,9;84;71,9;9,3;5;130;2;C 
30-10-2020;24,8;31,2;27,6;87;43,5;7,2;4;350;1;C 
31-10-2020;24;30,4;26,9;85;14,4;1,2;3;130;1;C 
01-11-2020;24,2;32,4;27,8;82;7,6;7,5;4;240;2;W 
02-11-2020;23,8;30;27;86;106,7;6,7;3;260;1;C 
03-11-2020;24,2;31,4;28;78;23,5;1;3;210;1;C 
04-11-2020;25,8;31;28,2;78;;8,4;3;170;1;C 
05-11-2020;25,2;31,6;27,3;88;15,6;3;3;210;1;C 
06-11-2020;24,6;30,6;27,5;86;41,9;2;4;130;2;SE
07-11-2020;25,2;31,5;29,4;75;;7;4;110;2;C 
08-11-2020;24,4;31,1;26,6;86;23;9,8;4;120;1;C 
09-11-2020;25,4;31,4;28;82;2;4;4;130;2;SE
10-11-2020;25,8;31,2;27,5;84;1;6,4;5;110;2;SE
11-11-2020;24,6;30,4;27,2;87;114;5,5;5;110;3;SE
12-11-2020;25;31,5;28,2;86;29,7;3,2;4;140;2;SE
13-11-2020;26;32;29;84;1,2;9,3;4;140;2;SE
14-11-2020;25;32,1;27,7;88;25,3;7,2;4;150;1;C 
15-11-2020;24,6;31,4;27,4;86;24,8;7;6;130;2;SE
16-11-2020;24,4;31,8;28,2;85;63,5;7,2;4;120;2;SE
17-11-2020;23,8;30,8;27;86;23,8;8,5;4;140;2;SE
18-11-2020;24,1;31,8;27,9;84;26,9;5,3;4;120;2;SE
19-11-2020;25,2;31,6;28,5;84;28,5;8;3;130;1;C 
20-11-2020;;31,2;28,2;83;2,4;8,2;3;140;1;C 
21-11-2020;;31,6;28,1;88;8,5;5,2;3;140;1;C 
22-11-2020;24,5;30,1;26,9;86;45;3,6;3;120;1;C 
23-11-2020;25;31,5;28;84;;3,1;3;260;1;C 
24-11-2020;24,7;30;27,3;85;8,8;5,6;3;240;1;C 
25-11-2020;25,2;28,9;26,1;91;14,1;4,2;2;260;0;C 
26-11-2020;24,2;31;27,4;79;32,6;0;6;230;1;C 
27-11-2020;24,2;31,2;27,8;79;0;6,5;3;210;1;C 
28-11-2020;24,9;30,8;27,4;84;;2,7;5;250;2;W 
29-11-2020;;28;25,5;90;133,2;3,2;2;160;1;C 
30-11-2020;23,6;29,2;26,1;88;23,1;0;2;320;0;C 
01-12-2020;24,5;29,8;26,8;89;3,5;1,1;3;150;1;C 
02-12-2020;24;30,9;27,4;84;50,3;1,7;4;170;1;C 
03-12-2020;24;31;27,1;82;27,3;8,9;3;140;1;C 
04-12-2020;;30,8;27,4;84;17,5;6,2;3;140;1;C 
05-12-2020;24,5;31,2;26,7;88;1,8;;3;120;1;C 
06-12-2020;;31,6;27,4;80;40,5;4;3;310;1;C 
07-12-2020;24,8;32,3;27,6;83;6,9;2,1;3;280;1;C 
08-12-2020;25,6;32,8;28,8;78;3,8;2,5;5;260;2;W 
09-12-2020;24,9;32,6;28;77;8888;4,5;7;260;3;W 
10-12-2020;25,6;31,4;27,9;82;;6;4;260;2;W 
11-12-2020;25,5;31,4;27,5;85;3,5;2,7;4;230;1;W 
12-12-2020;25;30,4;27;84;13,8;2,1;5;250;1;C 
13-12-2020;24;30,8;26,1;89;86,4;3,3;4;70;1;C 
14-12-2020;24,4;29,2;26,5;89;71,5;3,5;10;260;1;C 
15-12-2020;;25,9;25,1;94;12,4;3,4;3;320;1;C 
16-12-2020;24;29,4;26,1;89;60,8;0,5;3;220;1;C 
17-12-2020;24,2;29,8;26,5;89;12,2;0,2;5;230;2;C 
18-12-2020;24;28;25,7;88;4,2;0,1;2;230;1;C 
19-12-2020;;31,2;26,9;86;17,2;0;4;220;2;SW
20-12-2020;24,3;31,3;27,9;80;2,7;4,8;4;210;1;C 
21-12-2020;24,8;31,6;28,1;78;0;9,3;3;220;1;C 
22-12-2020;25,4;31,4;27,8;82;2,1;7;3;200;1;C 
23-12-2020;25,5;32;28,2;82;0;5,3;3;150;1;C 
24-12-2020;25,4;31,5;27,9;82;4,5;7,2;3;200;1;C 
25-12-2020;25,2;31,8;28,4;79;1,8;6,3;3;200;1;C 
26-12-2020;25;30;27,3;82;1,7;5,7;6;300;1;C 
27-12-2020;;31,6;27,7;82;12,3;1;3;230;1;C 
28-12-2020;24,2;30,2;27,1;85;36;6,8;4;180;1;C 
29-12-2020;24,4;31,4;27,4;88;11,5;2,2;5;240;2;W 
30-12-2020;25;29;26,6;87;22,2;3,5;5;260;2;W 
31-12-2020;24,7;32,1;26,8;86;25,9;0;4;250;1;C 
01-01-2021;24,6;;27,7;80;10,1;5,5;6;250;1;C 
02-01-2021;24,4;30,8;27,2;83;3,7;6,6;3;210;1;C 
03-01-2021;24,5;29,2;27,1;87;0;0,3;3;150;0;C 
04-01-2021;25;31;27,4;84;1,6;0;3;190;1;C 
05-01-2021;24,4;32,4;27,6;84;8,2;3,4;3;220;1;C 
06-01-2021;24,6;31,4;27,5;83;8888;5,6;4;140;1;C 
07-01-2021;24,7;31,8;28,1;82;0;4,6;4;130;1;C 
08-01-2021;;31,6;27,5;82;7,5;1,6;5;260;1;C 
09-01-2021;24,6;31,6;27,7;83;4,8;6;3;180;2;C 
10-01-2021;24;27,8;25,7;93;43,9;5,4;3;270;1;C 
11-01-2021;24,8;31,3;27,3;87;11,4;5,5;4;290;1;C 
12-01-2021;24,6;31,9;27,7;84;3,1;5,6;5;220;2;C 
13-01-2021;24,6;32,2;27,9;82;0,8;4;4;220;1;C 
14-01-2021;24;30,8;26,9;83;132,5;7;2;270;0;C 
15-01-2021;24;31,2;27,8;82;;0,7;2;300;0;C 
16-01-2021;23,7;31;26,4;85;3;0;4;130;1;C 
17-01-2021;23,3;32,4;28;84;0,2;1,2;5;250;2;C 
18-01-2021;25;32,8;28,1;82;7,2;6,5;5;240;2;NW
19-01-2021;24,8;33,2;27,9;74;7,8;7,7;7;350;2;N 
20-01-2021;;32,8;29,3;70;;6;6;320;2;C 
21-01-2021;25,4;31,8;27,9;82;2,6;5,8;3;140;1;C 
22-01-2021;25,2;32,1;28;83;2,6;;4;230;2;SW
23-01-2021;24,6;31,6;27,9;80;0,2;4,3;4;140;1;C 
24-01-2021;25;32,3;;;;4,1;2;300;1;C 
25-01-2021;25;31,4;27,7;80;0;1,8;5;120;1;C 
26-01-2021;25;31;26,7;86;7;4,3;6;250;2;C 
27-01-2021;24,8;31,2;26,6;84;3,3;3,2;11;230;2;C 
28-01-2021;24;31,7;26,4;86;7;2,5;4;250;2;W 
29-01-2021;23,8;31;26,8;88;13,6;4,2;4;230;2;W 
30-01-2021;24,7;31;27,1;83;7,5;4,6;4;330;1;C 
31-01-2021;24,8;33;27;86;4,4;0,7;6;350;2;W 
01-02-2021;;32,9;27,7;82;2,3;4,5;5;250;1;C 
02-02-2021;25,4;33,4;28,6;80;;6,5;4;140;2;W 
03-02-2021;25,2;32;27;85;1,8;6,1;5;240;2;C 
04-02-2021;24,8;33;27,7;81;11,5;2,5;5;230;1;C 
05-02-2021;25;33,3;26,8;86;5,4;6;3;280;1;C 
06-02-2021;25;31,9;27,7;80;42,5;4,8;7;340;2;C 
07-02-2021;25,6;31,6;28,1;80;0;1;4;250;2;W 
08-02-2021;25,2;31,2;26,8;86;9,1;2;4;340;1;C 
09-02-2021;24,5;32,6;27,2;85;6,3;1,2;7;210;2;C 
10-02-2021;25;30,8;27,6;84;3,4;3,7;3;250;1;C 
11-02-2021;25;31,4;28,1;81;16,6;2,8;4;220;2;SW
12-02-2021;25,4;32;28,2;84;3,1;10,6;5;240;2;C 
13-02-2021;23,8;32,4;27,4;85;66,8;10,6;3;210;1;C 
14-02-2021;23,8;31,6;27,1;85;1,8;7,2;5;250;1;C 
15-02-2021;24,2;33;28;82;46,5;3,1;6;330;1;C 
16-02-2021;24,8;33,2;28,4;79;;9,6;3;320;1;C 
17-02-2021;24,2;29,2;26,7;87;47,4;5,4;2;260;0;C 
18-02-2021;24;32,8;26,9;84;11;0;12;230;2;C 
19-02-2021;24,6;31,6;27,1;81;28,9;4,5;5;340;2;NW
20-02-2021;24,8;32;27,9;76;;1;6;340;3;NW
21-02-2021;25,6;33,4;28,4;75;;2,3;6;190;2;C 
22-02-2021;25;32,6;28,3;80;1,4;1,1;6;220;2;C 
23-02-2021;25,5;32,4;27,7;81;;7,3;6;250;2;W 
24-02-2021;22,3;29,4;26;88;52,1;2,2;4;240;1;C 
25-02-2021;23,6;32,8;27,9;80;2,1;0;4;360;2;N 
26-02-2021;24,4;31,4;27,5;80;2,9;6;4;340;1;C 
27-02-2021;25,8;32;27,9;84;;0,5;4;240;1;C 
28-02-2021;23,2;31;26,7;84;22,5;5;3;170;1;C 
01-03-2021;24,1;33,2;28,8;77;;2;3;230;1;C 
02-03-2021;25,8;32,8;27,7;80;0;6;7;230;1;C 
03-03-2021;25,2;33;27,6;82;1,5;4,5;4;270;2;C 
04-03-2021;24,8;32,4;28,1;79;0;6,6;4;240;2;W 
05-03-2021;;;28,4;77;;6,4;3;120;1;C 
06-03-2021;25,4;33;28,2;81;;10,5;4;200;1;C 
07-03-2021;24,2;31;27,3;82;44,1;8,3;4;230;2;W 
08-03-2021;24,4;30,4;26,4;88;;7;5;260;2;W 
09-03-2021;23,8;32,4;26,8;84;2;7,4;6;210;1;C 
10-03-2021;23,8;33,4;28,3;80;6,2;7,2;4;330;1;C 
11-03-2021;;30,6;27,3;86;1,5;6,4;4;290;1;C 
12-03-2021;23,6;31,8;27;84;3,1;1,5;4;220;1;C 
13-03-2021;23,8;;27,8;81;;8;3;200;1;C 
14-03-2021;25;31,4;27,6;83;3;1,5;5;210;2;C 
15-03-2021;;30,8;27,3;86;3,4;7,5;3;350;1;C 
16-03-2021;24,7;31,2;27,2;84;26,1;4,7;3;140;0;C 
17-03-2021;24,4;32,2;27,8;84;;3,5;4;280;1;C 
18-03-2021;25,2;31,6;27,8;83;;8,3;3;200;1;C 
19-03-2021;24,2;32,7;27,8;80;;4,4;4;230;1;C 
20-03-2021;24;32;27,4;84;19,7;9;4;260;1;C 
21-03-2021;24,4;32;28;82;11,7;6,2;4;190;1;C 
22-03-2021;24,3;32,6;28;79;4,9;9,3;5;200;1;C 
23-03-2021;;31,6;27,7;82;2,6;4,5;5;210;1;C 
24-03-2021;25,4;32,4;28,2;80;0;7,3;4;250;1;C 
25-03-2021;25,4;34;28,3;82;0,9;8,3;3;210;1;C 
26-03-2021;25,6;32,2;28,6;81;1,9;7,8;3;210;1;C 
27-03-2021;26;32,4;28,6;84;1;9;3;230;1;C 
28-03-2021;25,8;31,2;28;84;3,6;2,5;4;210;1;C 
29-03-2021;26;31,9;28,2;85;1;7;3;160;1;C 
30-03-2021;;30,6;27;88;55,5;4,4;4;280;1;C 
